alsa-utils 1.2.14-1
amd-ucode 20250708-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bitwarden 2025.7.0-1
blender 17:4.5.1-1
blueman 2.4.6-1
bluez 5.83-1
bluez-utils 5.83-1
btop 1.4.4-1
calibre 8.7.0-1
chromium 139.0.7258.66-1
discord 1:0.0.104-1
dosfstools 4.2-5
efibootmgr 18-3
firefox 141.0-1
fzf 0.65.1-1
geogebra 1:5.2.894.2-1
gimp 3.0.4-3
git 2.50.1-3
grub 2:2.12.r292.g73d1c959-1
gstreamer-vaapi 1.26.4-1
hypridle 0.1.6-6
hyprland 0.50.1-1
hyprlock 0.9.1-1
hyprpaper 0.7.5-3
hyprpicker 0.4.5-4
hyprshot 1.3.0-3
inkscape 1.4.2-6
kdeconnect 25.04.3-1
kitty 0.42.2-1
libreoffice-fresh 25.2.5-1
linux 6.15.9.arch1-1
linux-firmware 20250708-1
mtools 1:4.0.49-1
nano 8.5-1
ncdu 2.8.2-3
nemo 6.4.5-1
neofetch 7.1.0-2
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
nextcloud 31.0.7-1
nextcloud-client 2:3.16.6-1
notepad 1.2.7-3
nwg-look 1.0.6-1
obs-studio 31.1.1-1
os-prober 1.83-1
pamixer 1.6-3
pandoc-cli 3.1.12.1-124
pavucontrol 1:6.1-1
pdf2svg 0.2.4-1
polkit-gnome 0.105-11
power-profiles-daemon 0.30-1
prusa-slicer 2.9.2-10
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
python-build 1.3.0-1
python-pip 25.2-1
rpi-imager 1.9.6-1
spacecadetpinball-bin 2.1.0-2
starship 1.23.0-1
stow 2.4.1-1
sudo 1.9.17.p1-1
swaync 0.12.1-1
texlive-basic 2025.2-1
texlive-fontsextra 2025.2-1
texlive-xetex 2025.2-1
thunderbird 141.0-1
tidal-hifi 5.20.0-1
timeshift 25.07.4-1
ttf-cascadia-code-nerd 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
unzip 6.0-23
usbutils 018-1
visual-studio-code-bin 1.102.3-1
vlc 3.0.21-27
waybar 0.13.0-3
woff2-font-awesome 7.0.0-4
wofi 1.5.1-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-hyprland 1.3.10-1
yay 12.5.0-1
zip 3.0-11
zoom 6.5.8-1
zsa-keymapp-bin 1.3.7-1
